WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.807915 -6.262973)",1466.0,11.0,Kota Jakarta Selatan,3174.0,2.0,-6.262973,106.807915,1.0
"POINT (106.899172 -6.227144)",1467.0,11.0,Kota Jakarta Timur,3175.0,2.0,-6.227144,106.899172,1.0
"POINT (106.845172 -6.211544)",1468.0,11.0,Kota Jakarta Pusat,3171.0,2.0,-6.211544,106.845172,1.0
"POINT (106.764272 -6.171544)",1469.0,11.0,Kota Jakarta Barat,3173.0,2.0,-6.171544,106.764272,1.0
"POINT (106.899172 -6.151544)",1470.0,11.0,Kota Jakarta Utara,3172.0,2.0,-6.151544,106.899172,1.0
"POINT (106.5071982 -5.7985266)",1465.0,11.0,Kabupaten Kepulauan Seribu,3101.0,2.0,-5.7985266,106.5071982,1.0
